교구,성지,저장위치,파일_또는_URL,KB,출처,라이선스
대전,합덕 성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Korea_Hapdeok_Catholic_Church_01_%2814217783204%29.jpg/1280px-Korea_Hapdeok_Catholic_Church_01_%2814217783204%29.jpg,,Wikimedia Commons,CC BY-SA 2.0
대전,해미순교성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Korea_Haemi_Martyrdom_Holy_Ground_16_%2814031341538%29.jpg/1280px-Korea_Haemi_Martyrdom_Holy_Ground_16_%2814031341538%29.jpg,,Wikimedia Commons (Korea.net / Korean Culture and Information Service (Jeon Han),CC BY-SA 2.0
대전,홍주 순교 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/Korea_Hongju_Sacred_Grounds_01_%2814225851034%29.jpg/1280px-Korea_Hongju_Sacred_Grounds_01_%2814225851034%29.jpg,,Wikimedia Commons,CC BY-SA 2.0
대전,황새바위 순교성지,저장소 파일,hwangsaebawi-sungyoseongji.jpg,165,한국관광공사 TourAPI 관광정보 (contentId 127240),공공누리 (제1·3유형 미확인 · 원본 무변경)
마산,명례 성지,저장소 파일,myeongrye-seongji.jpg,129,한국관광공사 TourAPI 관광정보 (contentId 2702820),공공누리 (제1·3유형 미확인 · 원본 무변경)
마산,진주 문산성당,저장소 파일,munsan.jpg,198,국가유산청,공공누리 제1유형
마산,창원 웅천 왜성,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/%EC%B0%BD%EC%9B%90_%EC%A7%84%ED%95%B4_%EC%9B%85%EC%B2%9C%EC%99%9C%EC%84%B1.jpg/1280px-%EC%B0%BD%EC%9B%90_%EC%A7%84%ED%95%B4_%EC%9B%85%EC%B2%9C%EC%99%9C%EC%84%B1.jpg,,Wikimedia Commons,CC BY-SA 4.0
부산,언양 성당,저장소 파일,eonyang.jpg,74,국가유산청,공공누리 제1유형
서울,가회동 성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Korea_Gaheedong_Catholic_Church_20140424_16_%2814039222742%29.jpg/1280px-Korea_Gaheedong_Catholic_Church_20140424_16_%2814039222742%29.jpg,,"Wikimedia Commons (Republic of  Korea from Seoul, Republic of Korea)",CC BY-SA 2.0
서울,광화문 124위 시복 터,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Korea_Pope_Francis_Gwanghwamun_Beatification_24_%2814932569742%29.jpg/1280px-Korea_Pope_Francis_Gwanghwamun_Beatification_24_%2814932569742%29.jpg,,"Wikimedia Commons (Republic of  Korea from Seoul, Republic of Korea)",CC BY-SA 2.0
서울,광희문 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/%EA%B4%91%ED%9D%AC%EB%AC%B8_%EC%99%B8%EB%B6%80_%EC%8B%A0%EB%8B%B9%EB%A6%AC_%EB%82%B4%EC%A7%80%EC%9D%B8_%EA%B3%B5%EB%8F%99%EB%AC%98%EC%A7%80_%EC%A0%84%EA%B2%BD.jpg/1280px-%EA%B4%91%ED%9D%AC%EB%AC%B8_%EC%99%B8%EB%B6%80_%EC%8B%A0%EB%8B%B9%EB%A6%AC_%EB%82%B4%EC%A7%80%EC%9D%B8_%EA%B3%B5%EB%8F%99%EB%AC%98%EC%A7%80_%EC%A0%84%EA%B2%BD.jpg,,Wikimedia Commons (상트 오틸리엔 수도원),CC0
서울,당고개순교성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Q49942_Danggogae_A01.JPG/1280px-Q49942_Danggogae_A01.JPG,,Wikimedia Commons (분당선M),CC BY-SA 3.0
서울,명동대성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Myeongdong_Cathedral_02.jpg/1280px-Myeongdong_Cathedral_02.jpg,,Wikimedia Commons (Exj),CC BY-SA 4.0
서울,새남터순교성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Korea_Saenamteo_20140422_22_%2813942649356%29.jpg/1280px-Korea_Saenamteo_20140422_22_%2813942649356%29.jpg,,"Wikimedia Commons (Republic of  Korea from Seoul, Republic of Korea)",CC BY-SA 2.0
서울,석정 보름 우물,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/%EC%84%9D%EC%A0%95%EB%B3%B4%EB%A6%84%EC%9A%B0%EB%AC%BC.jpg/1280px-%EC%84%9D%EC%A0%95%EB%B3%B4%EB%A6%84%EC%9A%B0%EB%AC%BC.jpg,,Wikimedia Commons (LR0725),CC BY-SA 4.0
서울,약현성당 (중림동성당),위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/Archdiocese_of_Seoul_Jungnim-dong_Yakhyeon_Catholic_Church.JPG/1280px-Archdiocese_of_Seoul_Jungnim-dong_Yakhyeon_Catholic_Church.JPG,,Wikimedia Commons (U2em),CC BY-SA 3.0
서울,용산 성직자 묘역,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Former_Yongsan_Roman_Catholic_Theological_Seminary_and_Wonhyo-ro_Church.jpg/1280px-Former_Yongsan_Roman_Catholic_Theological_Seminary_and_Wonhyo-ro_Church.jpg,,옛 용산신학교·원효로성당 / Wikimedia Commons (Jjw),CC BY-SA 4.0
서울,용산 예수 성심 신학교,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_03.jpg/1280px-Wonhyo-ro_Catholic_church_of_Sacred_Heart_of_Jejus_03.jpg,,Wikimedia Commons (Jjw),CC BY-SA 4.0
서울,의금부 터,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Uikeumbu.jpg/1280px-Uikeumbu.jpg,,Wikimedia Commons (Pablin),CC BY-SA 3.0
서울,절두산 순교성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Jeoldusan_Martyrs%27_Shrine_%28%EC%A0%88%EB%91%90%EC%82%B0_%EC%88%9C%EA%B5%90%EC%84%B1%EC%A7%80%29_-_panoramio.jpg/1280px-Jeoldusan_Martyrs%27_Shrine_%28%EC%A0%88%EB%91%90%EC%82%B0_%EC%88%9C%EA%B5%90%EC%84%B1%EC%A7%80%29_-_panoramio.jpg,,Wikimedia Commons (골뱅이),CC BY-SA 3.0
서울,종로 성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Tower_of_the_Jongno_Catholic_Church.jpg/1280px-Tower_of_the_Jongno_Catholic_Church.jpg,,Wikimedia Commons (Ethan Doyle White),CC BY-SA 4.0
수원,구산 성지,저장소 파일,gusan-seongji.jpg,594,한국관광공사 TourAPI 관광정보 (contentId 126805),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,남양 성모 성지,저장소 파일,namyang-seongmo-seongji.jpg,126,한국관광공사 포토코리아 (촬영 이형찬),공공누리 제1유형
수원,남한산성 순교성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Korea_Namhansanseong_Fortress_Martyrs_Site_07_%2814141940034%29.jpg/1280px-Korea_Namhansanseong_Fortress_Martyrs_Site_07_%2814141940034%29.jpg,,"Wikimedia Commons (Republic of  Korea from Seoul, Republic of Korea)",CC BY-SA 2.0
수원,단내 성가정 성지,저장소 파일,dannae-seonggajeong-seongji.jpg,234,한국관광공사 TourAPI 관광정보 (contentId 2763759),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,미리내 성지,저장소 파일,mirinae-seongji.jpg,155,한국관광공사 TourAPI 관광정보 (contentId 127556),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,손골 성지,저장소 파일,songol-seongji.jpg,397,한국관광공사 TourAPI 관광정보 (contentId 2732361),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,은이 성지,저장소 파일,euni-seongji.jpg,118,한국관광공사 TourAPI 관광정보 (contentId 2612873),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,죽산 순교성지,저장소 파일,juksan-sungyoseongji.jpg,102,한국관광공사 TourAPI 관광정보 (contentId 127027),공공누리 (제1·3유형 미확인 · 원본 무변경)
수원,천진암 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Korea_Catholic_Shrines_ChonJinAm_07_%2814161662893%29.jpg/1280px-Korea_Catholic_Shrines_ChonJinAm_07_%2814161662893%29.jpg,,"Wikimedia Commons (Republic of  Korea from Seoul, Republic of Korea)",CC BY-SA 2.0
안동,상주 신앙 고백비,저장소 파일,sangju-sinang-gobaekbi.jpg,193,한국관광공사 TourAPI 관광정보 (contentId 129003),공공누리 (제1·3유형 미확인 · 원본 무변경)
원주,강릉 임당동성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Imdang-dong_Catholic_Church%2C_Gangneung.jpg/1280px-Imdang-dong_Catholic_Church%2C_Gangneung.jpg,,Wikimedia Commons (Trainholic),CC BY-SA 4.0
원주,강원 감영,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/231226_%EA%B0%95%EC%9B%90%EA%B0%90%EC%98%81.jpg/1280px-231226_%EA%B0%95%EC%9B%90%EA%B0%90%EC%98%81.jpg,,Wikimedia Commons (Aspere),CC0
원주,배론성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/%EB%B0%B0%EB%A1%A0%EC%84%B1%EC%A7%80.jpg/1280px-%EB%B0%B0%EB%A1%A0%EC%84%B1%EC%A7%80.jpg,,Wikimedia Commons (Korea Heritage Service),CC BY-SA 4.0
원주,성내동 성당,위키미디어 URL,https://www.khs.go.kr/unisearch/images/register/1668361.jpg,,국가유산청,공공누리 제1유형
원주,용소막성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Yongsomak_Catholic_Church%2C_Wonju.jpg/1280px-Yongsomak_Catholic_Church%2C_Wonju.jpg,,Wikimedia Commons,CC BY 4.0
원주,원동 주교좌성당,저장소 파일,wondong.jpg,391,국가유산청,공공누리 제1유형
원주,풍수원성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/2020-04-22_14.01.12_%ED%92%8D%EC%88%98%EC%9B%90%EC%84%B1%EB%8B%B9.jpg/1280px-2020-04-22_14.01.12_%ED%92%8D%EC%88%98%EC%9B%90%EC%84%B1%EB%8B%B9.jpg,,Wikimedia Commons,CC0 1.0
의정부,갈곡리 성당,저장소 파일,galgokri-seongdang.jpg,614,공공누리 포털 · 국가유산청 「파주 갈곡리 성당_95」(recommendIdx 45242),공공누리 제1유형
의정부,의정부 주교좌성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Cath%C3%A9drale_du_Sacr%C3%A9-C%C5%93ur_de_Marie_-_Uijeongbu.jpg/1280px-Cath%C3%A9drale_du_Sacr%C3%A9-C%C5%93ur_de_Marie_-_Uijeongbu.jpg,,Wikimedia Commons,CC BY-SA 4.0
의정부,참회와 속죄의 성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/20241207_Jjw_%EC%B0%B8%ED%9A%8C%EC%99%80_%EC%86%8D%EC%A3%84%EC%9D%98_%EC%84%B1%EB%8B%B9.jpg/1280px-20241207_Jjw_%EC%B0%B8%ED%9A%8C%EC%99%80_%EC%86%8D%EC%A3%84%EC%9D%98_%EC%84%B1%EB%8B%B9.jpg,,Wikimedia Commons,CC BY-SA 4.0
의정부,행주 성당,저장소 파일,haengju.jpg,357,국가유산청,공공누리 제1유형
의정부,황사영 순교순례지,저장소 파일,hwangsayeong-sungyosunryeji.jpg,202,한국관광공사 TourAPI 관광정보 (contentId 127018),공공누리 (제1·3유형 미확인 · 원본 무변경)
인천,갑곶 순교성지,저장소 파일,gapgot-sungyoseongji.jpg,149,한국관광공사 TourAPI 관광정보 (contentId 2768133),공공누리 (제1·3유형 미확인 · 원본 무변경)
인천,김포 성체성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Gimpo_Catholic_Church_003.jpg/1280px-Gimpo_Catholic_Church_003.jpg,,Wikimedia Commons (Jjw),CC BY-SA 4.0
인천,답동주교좌성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/Dapdong_cathedral.JPG/1280px-Dapdong_cathedral.JPG,,Wikimedia Commons,CC BY-SA 3.0
인천,제물진두 순교성지,저장소 파일,jemuljindu-sungyoseongji.jpg,116,공공누리 포털 · 인천광역시 「제물진두 순교기념경당」(recommendIdx 28346),공공누리 제1유형
전주,나바위 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/%EC%9D%B5%EC%82%B0_%EB%82%98%EB%B0%94%EC%9C%84%EC%84%B1%EB%8B%B9_05.jpg/1280px-%EC%9D%B5%EC%82%B0_%EB%82%98%EB%B0%94%EC%9C%84%EC%84%B1%EB%8B%B9_05.jpg,,Wikimedia Commons,공공누리 제1유형 (KOGL Type 1)
전주,되재 성당지,저장소 파일,doejae-seongdangji.jpg,323,한국관광공사 포토코리아 (촬영 한국관광공사 김지호),공공누리 제1유형
전주,여산 순교 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/%EC%97%AC%EC%82%B0_%EC%B2%99%ED%99%94%EB%B9%84.jpg/1280px-%EC%97%AC%EC%82%B0_%EC%B2%99%ED%99%94%EB%B9%84.jpg,,Wikimedia Commons (익산시청 (공공누리 제1유형)),CC BY-SA 4.0
전주,전동성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Jeondong_Cathedral.jpg/1280px-Jeondong_Cathedral.jpg,,Wikimedia Commons,CC0 1.0
전주,전라 감영,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/%EC%A0%84%EB%9D%BC%EA%B0%90%EC%98%811.jpg/1280px-%EC%A0%84%EB%9D%BC%EA%B0%90%EC%98%811.jpg,,Wikimedia Commons (DAYEON LEE),CC BY-SA 4.0
전주,전주 숲정이 성지,위키미디어 URL,https://www.khs.go.kr/unisearch/images/monument/1653565.jpg,,국가유산청,공공누리 제1유형
전주,천호성지,저장소 파일,cheonhoseongji.jpg,299,한국관광공사 포토코리아 (촬영 한국관광공사 김지호),공공누리 제1유형
전주,초남이 성지,저장소 파일,chonami-seongji.jpg,212,한국관광공사 포토코리아 (촬영 한국관광공사 김지호),공공누리 제1유형
전주,치명자산 성지,저장소 파일,chimyeongjasan-seongji.jpg,230,한국관광공사 TourAPI 관광정보 (contentId 127611),공공누리 (제1·3유형 미확인 · 원본 무변경)
제주,대정성지 (정난주 마리아 묘),저장소 파일,daejeongseongji-jeongnanju-maria-myo.jpg,150,한국관광공사 TourAPI 관광정보 (contentId 2765240),공공누리 (제1·3유형 미확인 · 원본 무변경)
제주,새미 은총의 동산,저장소 파일,saemi-eunchongui-dongsan.jpg,141,한국관광공사 TourAPI 관광정보 (contentId 2765252),공공누리 (제1·3유형 미확인 · 원본 무변경)
제주,용수성지 (성 김대건 신부 제주 표착 기념관),저장소 파일,yongsuseongji-seong-gimdaegeon-sinbu-jeju-pyochak-ginyeomgwan.jpg,153,한국관광공사 TourAPI 관광정보 (contentId 2765233),공공누리 (제1·3유형 미확인 · 원본 무변경)
제주,제주 관덕정,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Gwandeokjeong_Pavilion.JPG/1280px-Gwandeokjeong_Pavilion.JPG,,Wikimedia Commons (Thddbwnd),CC BY-SA 3.0
청주,배티 순교성지,저장소 파일,baeti-sungyoseongji.jpg,285,한국관광공사 포토코리아 (촬영 한국관광공사 박성근),공공누리 제1유형
청주,연풍 순교성지,저장소 파일,yeonpung-sungyoseongji.jpg,162,한국관광공사 TourAPI 관광정보 (contentId 1626555),공공누리 (제1·3유형 미확인 · 원본 무변경)
청주,음성 감곡면 매괴성당,저장소 파일,eumseong-gamgokmyeon-maegoeseongdang.jpg,279,한국관광공사 포토코리아 (촬영 한국관광공사 이범수),공공누리 제1유형
춘천,강릉 대도호부 관아,저장소 파일,gangreung-daedohobu-gwana.jpg,126,한국관광공사 TourAPI 관광정보 (contentId 2605187),공공누리 (제1·3유형 미확인 · 원본 무변경)
춘천,죽림동 순교 성지,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Jukrimdong_Cathedral_2020801_003.jpg/1280px-Jukrimdong_Cathedral_2020801_003.jpg,,Wikimedia Commons (Jjw),CC BY-SA 4.0
춘천,죽림동 주교좌 성당,위키미디어 URL,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d5/Jukrimdong_Cathedral_2020801_003.jpg/1280px-Jukrimdong_Cathedral_2020801_003.jpg,,Wikimedia Commons (Jjw),CC BY-SA 4.0
